date,text,aspect,aspect_ix,opinion,sentiment,triplet,aspect_opinion,timestamp,info,cat
2022-02-09T13:47:46.851709Z,"Менеджер Ирина ( внутренний номер 6907919 . ) Вежливая , полностью ответила на мой вопрос . Объяснила мне так , что я поняла . Спасибо ей огромное . Приятно иметь дело с сотрудниками , которые понимают , что делают .",менеджер,[0],вежливая,POS,"('менеджер', 'вежливая', 'POS')","('менеджер', 'вежливая')",1644414466.851709,1,0
2022-02-09T12:59:35.196095Z,"Оплатила на Кубе экскурсию дебетовой картой Тинькофф Блэк . По данной покупке кэшбэк не начислили , т к не по всем покупкам это происходит , есть какие - то коды , по которым и в РФ не начисляют . По приезде увидела и позвонила в банк . На следующий день по обращению произвели начисление . Мелочь , 58 рублей , но очень приятно . Очень благодарна . Из таких мелочей складывается впечатление . Самый лучший банк - Тинькофф !",банк,[75],самый лучший,POS,"('банк', 'самый лучший', 'POS')","('банк', 'самый лучший')",1644411575.196095,1,1
2022-02-09T12:59:35.196095Z,"Оплатила на Кубе экскурсию дебетовой картой Тинькофф Блэк . По данной покупке кэшбэк не начислили , т к не по всем покупкам это происходит , есть какие - то коды , по которым и в РФ не начисляют . По приезде увидела и позвонила в банк . На следующий день по обращению произвели начисление . Мелочь , 58 рублей , но очень приятно . Очень благодарна . Из таких мелочей складывается впечатление . Самый лучший банк - Тинькофф !",банк,[75],лучший,POS,"('банк', 'лучший', 'POS')","('банк', 'лучший')",1644411575.196095,0,6
2022-02-09T12:33:08.102916Z,Клиент банка уже 2 года очень быстрое обслуживание Легко решаються проблемы всегда можно придти к общему мнению .,обслуживание,[7],быстрое,POS,"('обслуживание', 'быстрое', 'POS')","('обслуживание', 'быстрое')",1644409988.102916,1,0
2022-02-09T11:49:07.328451Z,"Работаем с банком уже 8 месяцев . За это время с банком сложились хорошие отношения . Сейчас любой бизнес банки периодически мучают проверками , просят присылать документы по контрагентам . счета , договора , упд и т . д . и это конечно напрягает . У нас был опыт работы с несколькими банками и честно скажу в Тинькофф данные проверки не вызывают отвращения . Вс проходит быстро , если в первый день собрать пакет документов , то на след день , максимум через один проверка будет закончена и и вы сможете работать дальше . Второй большой плюс , что банк не блокирует ваш счет , а приостанавливает деятельность в сторону проверяемого контрагента , не более того , поэтому можно спокойно продолжать работать . Менеджеры банка всегда на связи и помогают в любых непонятных или спорных ситуациях . Особенную благодарность хочу выразить нашей палочке выручалочке И . Анжелике Владимировне !!! Чудо человечек , всегда на связи , всегда старается максимально быстро и качественно помочь , уровень лояльности к клиентам банка на высоте ! Анжелика , СПАСИБО ТЕБЕ ! Ты лучшая !",отношение,[14],хорошие,POS,"('отношение', 'хорошие', 'POS')","('отношение', 'хорошие')",1644407347.328451,1,0
2022-02-09T11:49:07.328451Z,"Работаем с банком уже 8 месяцев . За это время с банком сложились хорошие отношения . Сейчас любой бизнес банки периодически мучают проверками , просят присылать документы по контрагентам . счета , договора , упд и т . д . и это конечно напрягает . У нас был опыт работы с несколькими банками и честно скажу в Тинькофф данные проверки не вызывают отвращения . Вс проходит быстро , если в первый день собрать пакет документов , то на след день , максимум через один проверка будет закончена и и вы сможете работать дальше . Второй большой плюс , что банк не блокирует ваш счет , а приостанавливает деятельность в сторону проверяемого контрагента , не более того , поэтому можно спокойно продолжать работать . Менеджеры банка всегда на связи и помогают в любых непонятных или спорных ситуациях . Особенную благодарность хочу выразить нашей палочке выручалочке И . Анжелике Владимировне !!! Чудо человечек , всегда на связи , всегда старается максимально быстро и качественно помочь , уровень лояльности к клиентам банка на высоте ! Анжелика , СПАСИБО ТЕБЕ ! Ты лучшая !",человечек,[150],чудо,POS,"('человечек', 'чудо', 'POS')","('человечек', 'чудо')",1644407347.328451,1,0
2022-02-09T11:31:30.885094Z,Выполнение качественно услуга банка Тинькова люблю этот банк . Менял банк и услуги связи !!! И хочу быть быть с вами .,банк,[7],люблю,POS,"('банк', 'люблю', 'POS')","('банк', 'люблю')",1644406290.885094,1,2
2022-02-09T11:31:30.885094Z,Выполнение качественно услуга банка Тинькова люблю этот банк . Менял банк и услуги связи !!! И хочу быть быть с вами .,услуга,[2],качественно,POS,"('услуга', 'качественно', 'POS')","('услуга', 'качественно')",1644406290.885094,1,2
2022-02-09T11:25:31.010349Z,"В целом с Тинькофф были прекрасные отношения , но , как говорится , друг познатся в беде . Нужно было приобретать автомобиль , для этого снять с карты недостающие 400 тысяч рублей . Деньги частично были на расчетном счту дебетовой карты , часть тут же на накопительном . Перед банкоматом перенс деньги с накопительного на расчетный счет чтоб снять наличные , и тут началось : указал на банкомате всю сумму 400 тысяч , и он начал считать купюры . Считал , затихал , считал и снова затихал . Этот процесс все время занимал секунд 10 - 20 , ну пусть пол минуты . У меня уже прошло минут 3 - 4 , может и все 5 , а он никак не открывается . Я тут же прям стоя перед ним начинаю звонить в поддержку , докладываю что банкомат не выдат деньги , и тут он , наконец , открывается . БОльшая часть купюр по 1000 , они там аж спрессованы были . Еле вытащил , сразу понимая что нужно как можно быстрее пересчитать все ( но не тут же , когда вокруг уже скопилась очередь ) . Бегу в квартиру , пересчитываю : 150 тысячных купюр и 44 5и - тысячных . Нахватает 30 тысяч ! Тут же звоню банку , все подробно рассказываю , составили обращение . Первый ответ : на этапе снятия наличных обнаружена ошибка в работе банкомата , будем проверять , вернмся с ответом . Следующий ответ : проверили работу банкомата , ошибок не было , вам была выдана вся сумма ; возможно , вы ошиблись в подсчетах . Я в шоке , пишузвоню снова , говорю что не хватает 30 купюр ! ! Не одной , что она как то могла прилипнуть к другой или я мог ошибиться в подсчетах , а 30 !!! Проводят инкассацию через несколько дней - ответ тот же : вам выдана вся сумма , возможно вы ошиблись в подсчетах . Не знаю уже что делать , хоть идти на полиграфе им показывай , что я не пытаюсь с них требовать лишнее , я пытаюсь вернуть сво . Но на этом все не кончается : параллельно с составлением обращения по поводу работы банкомата банк сам предложил до окончания разбирательства пополнить счет на эти пропавшие 30 тысяч . Я соглашаюсь . Потом сами же дают заднюю , пишут что к сожалению баланс не смогут пополнить . И следом просят прислать документы по 115 - ФЗ с последующим письмом : если хотите составить повторно обращение на пополнение баланса на 30 тысяч , пришлите нам данный пакет документов . Я , впервые с этим сталкиваясь и не вникая , сразу уточнил , нужно в рамках рассмотрения обращения ( пополнить на 30 тыс временно ) или для чего то еще . Ответ от сотрудника : это нужно для составления нового обращения , все верно . Сказал что я подожду в таком случае , можете не пополнять , я больше времени убью на сбор документов . И через пару дней счт ограничивают в ДБО . Тут я уже , конечно , начал бить тревогу , звонить узнавать в чем дело , читать форумы и т . д . Прислал банку объяснение куда была сняты наличные ( договор купли - продажи автомобиля был на следующий день после снятия наличных ) , что сумма была у меня на накопительном счету , копилась много месяцев а не получил я их откуда то извне накануне ) и т . д . Часть документов запрошенных ( справки 2 и 3 ндфл ) я пояснил , что не прикрепил , так как в 2021 году налогов уплачено не было , у меня только с января 2022 года начал действовать патент и я совсем недавно оформил ИП . В общем общение шло сухо , это была игра в одни ворота , мне банально отписываются что мой ответ рассмотрен и сво решение банк не намерен пересматривать . Подробный и разврнутый ответ мне так же отказались предоставить , на почту прислали письмо к сожалению , коллеги не предоставили более подобного ответа , вам предложено перевести деньги в другой банк и закрыть счт . Про последствия закрытия счета по причине отказа банка по 115 - ФЗ я прочитал , что до этого доводить не желательно , попаду в ЧС по всем банкам . Счт для бизнеса , открытый в этом же банке 2 неделями ранее , так же будет целесообразно закрывать .",отношение,[6],прекрасные,POS,"('отношение', 'прекрасные', 'POS')","('отношение', 'прекрасные')",1644405931.010349,1,0
2022-02-09T11:12:09.515717Z,С 2015 года работаю с банком доволен . Всегда быстрый ответ и профессиональная подготовка сотрудников .,ответ,[10],быстрый,POS,"('ответ', 'быстрый', 'POS')","('ответ', 'быстрый')",1644405129.515717,1,0
