text,pred,label,pred_text,label_text
"В ноябре 2022 списали 5000 руб за несоблюдение условий по пакету Привилегия , который был подключен без моего ведома и , соответственно , согласия , 13.10.2022 года . На мое требование вернуть деньги отказали . Виновных в подключении данной услуги не нашли и не наказали , соответственно . Самый гадкий банк !","[([50], [49], 'NEG'), ([50], [48, 49], 'NEG')]",[],"[('банк', 'гадкий', 'NEG'), ('банк', 'Самый гадкий', 'NEG')]",[]
"С 01.02.2023 у дебетовой карты Альфабанка появился кэшбек 5 в категории Здоровье . Мне сегодня нужно оплатить медуслуги за близкого родственника , также у меня есть карта ПАО ГПБ с 3 кэшбека , но 5 кэшбека , конечно , предпочтительнее . Полчаса пыталась уточнить в мобильном приложении Альфы , что конкретно входит в эту категорию кэшбека , вместо этого переписывалась с ботом - ответы приходили абсолютно не по теме , со специалистом не соединяли , хотя я попросила это сделать раз 20 . А оплатить медуслуги нужно срочно . Считаю такую поддержку клиентов просто издевательством .",[],[],[],[]
"С сентября 2022 года сотрудники отделения на Совхозной 41 не могут разрешить ситуацию с возвратом денежных средств . Возврат за купленный в 2020 году билет поступил в 2022 году , на этот момент я уже не являюсь клиентом , нет карты и счета , деньги находятся в банке , но по техническим причинам и абсолютной некомпетентности сотрудников произвести этот возврат они не могут ни через кассу , ни через открытый специально для этого мастер - счет . Это не первый аналогичный возврат , но именно сейчас все сломалось и никто не знает , что делать .","[([56], [55], 'NEG'), ([52], [51], 'NEG')]",[],"[('сотрудников', 'некомпетентности', 'NEG'), ('причинам', 'техническим', 'NEG')]",[]
"Решила я воспользоваться предложением и оформить кредитку от Газпромбанка . Заказала карту курьером , карта ( неименная ) готовилась и доставлялась в течении 5 дней . Хотелось бы отметит , что , например , Альфа банк сейчас привозит такие же карты курьером в день оформления заявки . Карта приехала курьером . На айфоне приложение банка не работает , курьер сказал активировать карту в приложении , на мой вопрос что если оно не открывается , мне сказал , ну у всех на айфонах работает . Круто . Решила зайти в интернет - банк через браузере , чтобы активировать карту . Карта все еще считается недействительной . Пыталась зайти часа 4 , потом позвонила на горячую лини , мне сказал , ждите до 1 раб . дня , активация происходит автоматически . В сравнении с другими банкам , карта активируется прямо при курьере , но тут видимо нужно пройти квест , чтобы активировать ее . В 5 вечера приходит смс сообщении , что лимит установлен и картой можно пользоваться . И после этого я действительно смогла зайти в интерне - банк , но карта так и не активирована . Звоню на их горячую линию ( ожидание более 20 минут ) , мне девушка говорит ждите , активация карты произойдет в течении след . дня , если этого не случится , то обратитесь к нам снова . Обратитесь к нам и подождите на линии 20 минут просто так . В итоге на следующий день снова ничего не произошло , звонила на лини опять ждала 11 минут ожидания , потом девушка говорит я вижу карту она активна нужно установить пин код , могу перевести на голосовую установку пин кода , а знаете куда перевела , на общую горячую линию и я снова попала в конец очереди , ожидала еще 11 минут , потом девушка еще раз все проверила и наконец - то создала заявку в тех . Поддержку . Срок рассмотрения - 3 рабочих дня , а ведь если бы это сделать еще вчера , как я просила , я бы ожидала меньше . В итоге , к концу 2 дня мне просто перестал приходить код для входа в интернет - банк и теперь я вообще не понимаю что происходит с этой картой .",[],[],[],[]
"Всем здравствуйте ! Совсем недавно я узнал про кредитную карту Ренессанс Банка Разумная , а точнее про её привлекательную акцию , где возвращается кэшбек в размере 3000 рублей . Карту оформил 21.01.2023 через страницу акции , заполнил все данные и стал ждать ответа . Карту одобирили и договорились с представителем о встрече в среду 25.01.2023 . Во время встречи с представителем я ещё раз уточнил информацию по данной акции . 26.01.2023 я потратил с данной кредитки 3000 рублей и стал ждать кэшбек , но увы , его не пришло . 31.01.2023 я написал в чат - поддержку , чтобы уточнить вопрос о кэшбеке , на что мне ответили , что я карту оформил не через страницу акции , хотя это вовсе не так ( я перепроверил через историю браузера этот факт ) , и что мне , якобы , кэшбек не положен . Предложили составить обращение и подождать 7 дней , но меня данный расклад не устраивает , ведь я все формальности соблюдал , а меня , по видимому , обманули . Наверно , придется самому оплатить 3000 эти и закрыть карту от греха подальше , чтобы не наткунться на еще какие - то поводные камни . В общем , сто раз подумайте , прежде чем идти на эту авантюру .","[([19], [18], 'POS')]",[],"[('акцию', 'привлекательную', 'POS')]",[]
"Заказала дебетовую карту . Ее привезли на следующий же день , курьер был вежливым , все рассказал . К этому никаких нареканий нет . Через время пытаюсь зайти в мобильное приложение банка , на что мне пишет , что сервис временно недоступен . Захожу через час еще раз - та же беда . Пытаюсь зайти еще через 2 дня - не выходит . Иду в веб версию . Вижу , что моя карта не активирована . Никакой кнопки активировать нет . Знакомые мне говорят , что нужно позвонить в банк , возможно , мой номер к карте не привязали , например . Звоню им по номеру 8 ( 800 ) 100 - 07 - 01 . Со мной разговаривает робот , советует не звонить , а пойти в приложение , куда я зайти не могу . После этого переводит на людей , где мне говорится , что в очереди на оператора я проведу около 11 минут ! Это шутка ? звоню на номер 400 , туда звонок вообще не проходит . Худший банк , никому не буду советовать , такого ужасного опыта у меня еще не было .","[([172], [171], 'NEG'), ([11], [13], 'POS'), ([181], [180], 'NEG')]",[],"[('банк', 'Худший', 'NEG'), ('курьер', 'вежливым', 'POS'), ('опыта', 'ужасного', 'NEG')]",[]
"Для оформления кредита потребовалось указать три номера телефонов личный , дополнительный и рабочий . Сейчас возникла необходимость актуализировать эти номера , для чего пришлось обращаться в отделение банка . Три визита стали пустой тратой времени , якобы в анкете указан только личный номер , а других там нет за колл - центр мы не отвечаем - сказали сотрудники банка . Откуда взялись такие расхождения , выяснить не удалось . А ничего , что в бумажной версии договора указаны все три номера ? В колл - центре только советуют обращаться в отделение банка , где никто ничего не знает . Но при этом на горячей линии говорят , что номера заменить возможно . Замкнутый круг получается , не так ли ?",[],[],[],[]
"Заказал на сайте альфа - банка карту с кэшбеком 10 на все как новому клиенту . Она появилась в виртуальном виде в приложении , все нормально . Так как офис обслуживания находится рядом с местом моей работы ( в Румянцево ) , решил курьера не напрягать , а сам зайти вчера после работы и все спокойно получить . Надо сказать в Румянцево отделение необычное , ходят студенты с ноутбуками и подсаживаются за столики , типа как в кафе . Ко мне тоже подсела молоденькая девочка , которой я обрисовал ситуацию , что хочу получить карту с кэшбеком 10 на все . Она в ноутбуке заполнила мои данные , куда - то сходила и вернувшись сказала , что акция 10 на все закончилсь еще в прошлом году . Я сказал , что можете посмотреть на сайте Вашего банка , другая карта мне не нужна , она опять ушла , потом вернулась с картой , ее активировала через планшет , сказала перевести по СБП 110 рублей . Все казалось бы нормально , но когда она отдала мне карту у банкомата чтобы я перевел через банкомат 110 рублей себе на телефон , я увидел что это карта альфа - тревел . Когда я удивленно спросил , что это за тревел , мне ответили , что тут начисляются мили . Какие мили ? Зачем мне мили ? Чем она руководствовалась , я так и не понял . Я потом написал в чат через мобильное приложение , мне ответили , что все понимают , но сделать ничего не могут . Я конечно все понимаю , но настолько грубо разводить клиентов ради выдачи новых карт и для получения бонусов , по моему мнению , явный перебор .","[([62], [63], 'POS')]",[],"[('отделение', 'необычное', 'POS')]",[]
"Выражаю благодарность Юлии Семёновне С . Краткая история заключается в том , Что меня более 10 дней мурыжилы по простому вопросу в чате банка , на горячей линии , личный менеджер , операционист ДО Арбатский . Все это время меня переводили с одного на другого , абсолютно не вникая и не пытаясь помочь в решение простейшей просьбы распечатать платежное поручение по операции ф . л . за обучение . Только Юлия С . проявила клиентоориентированность , участие и помощь . Спасибо Юлия , и успехов !",[],[],[],[]
"У Альфы было едва ли не лучшее предложение по кредиткам , но в пандемию им представился хороший шанс облапошить своих клиентов под предлогом благотворительности , по кредиткам снизили ежемесячные платежи . Операты аргументировали это тем , что вы , мол , надежный клиент , и банк идет вам навстречу ( хотя никто его об этом не просил ) . Бойтесь этой фразы . Что происходит на самом деле ? На самом деле в уменьшенную сумму платежа больше не входит тело кредита , а только проценты и то они все в эту сумму не помещаются . Таким образом выходит , что оплачивая задолженность по кредитной карте на новых льготных условиях , вы не только не гасите кредит , но он еще и растет , поскольку сумма к оплате выставляется меньше , чем начислились проценты . Не сразу заметила , но когда заметила - восхитилась наглостью кредитной организации . Будьте бдительны , коллеги .","[([7], [6], 'POS'), ([108], [107], 'POS')]",[],"[('предложение', 'лучшее', 'POS'), ('условиях', 'льготных', 'POS')]",[]
