text,pred,pred_text
"Пользуюсь сервисом Private уже около года . До этого был премиум . Также есть премиум в других банках . Премиум тинькофф мне нравился , а прайвет также хорош как премиум , только во всем лучше ( плюс это действительно индивидуальный подход к клиенту ) Все всегда оперативно , доступно и понятно . Отдельно хочу поблагодарить своих персональных менеджеров Татьяну А . и Василия С . за высокий уровень сервиса . К ним всегда можно обратиться с любым вопросом и они обязательно помогут . Например , Татьяна оперативно помогла разобраться с покупкой в рассрочку , сама проследила и предложила варианты , что для меня было бы удобнее и выгоднее . Рассказывает о привилегиях и бонусах , которые мне доступны по сервису Private . Василий постоянно помогает с аналит .","[([67], [66], 'POS'), ([40], [39], 'POS'), ([57], [54], 'POS')]","[('уровень', 'высокий', 'POS'), ('подход', 'индивидуальный', 'POS'), ('менеджеров', 'поблагодарить', 'POS')]"
"Заблокировали переводы , потому что не был указан адрес в профиле . Заполнил . Но переводы не разблокировали . 3 дня мурыжат . Прддержка "" понимает , как важно иметь возможность удобно переводить деньги "" . Только вот подарки родственникам к НГ я до сих пор не могу оплатить . Так же кинули с рефералами и не выплатили бонус . С бонусом интересная история получилась . С одним рефералом накосячили при регистрации и он отказался сразу от услуг банка ( правильное решение ) а вот второй - мой брат . Выполнил условия . У него с банком возник инциндент и когда он начал разбираться с проблемой и написал про мой бонус , то поддержка банка ответила , что я закрыл счет ! Вот такие вот врунцы ... Прежде чем выбрать этот бан .",[],[]
"Здравствуйте ! Хочу поделиться отзывом о Банке Тинькоф Обращение было с моей стороны о том , что решили проблему возврата денежных средств с сайта Объявлений Юла , т . к они блокируют объявление , но размещение уже оплачено и деньги они не всегда возвращают , а менеджеры Тинькоф составили заявку , разобрались в течение 3 - 4 дней и вернули мне полностью утраченную сумму в размере 1028руб . За что им очень Благодарна , за эффектиную выпо .","[([76], [75], 'POS')]","[('выпо', 'эффектиную', 'POS')]"
"Пока полёт нормлаьный . Заказал кредит наличными в приложении , получил в тот же день , очень оперативно ! Ознакомился с документами и тарифами в приложении , внимательно прочитал , чтобы не было звёздочек и т . п . , договор довольно короткий и понятный , без подводных камней . Ставка высоковата , но собираюсь закрыть кредит досрочно , так что это не так критично . Важно было получить деньги как можно скорее , и банк в этом помог . Выдал сразу после заявки , а подписание документов уже на следующий день . Честно говоря , боялся брать в Тинькофф , т . к . слышал разные отзывы про изменение тарифов в одностороннем порядке и т . д . , но … На текущий момент не могу жаловаться , определяющим фактором была скорость , и тут банк не подвёл , от слова , совсем . Судя по всему попал на какую - то новогоднюю акцию , т . к . первая выплата по кредиту не в следующем месяце , а через месяц . Внимательно прочитал есть ли штрафы за досрочное погашение , их нет . Единственное условие , уведомить в чате о данной активности , чтож , уведомим ! Чего не хватило , так это более гибкого выбора срока кредитования . По дефолту 3 года , можно выбрать 2 . Нет опций на год .","[([40], [44], 'POS'), ([40], [42], 'POS'), ([1], [2], 'POS')]","[('договор', 'понятный', 'POS'), ('договор', 'короткий', 'POS'), ('полёт', 'нормлаьный', 'POS')]"
"Положительный отзыв о работе персонального мереджера Владимира Г . Всегда оперативно отвечает , понимает ситуацию . Часто компании партнеры некорректно начисляют мили , Тинькофф же без вопросов исправляет ошибки и мили приходят в полной мере . Вопрос с инвестициями Владимир тоже помог решить быстро и .","[([1], [0], 'POS')]","[('отзыв', 'Положительный', 'POS')]"
"Благодарю Елену ( персональный номер 502293 ) за помощь и ясное донесение информации , без которой я бы неправильно воспользовалась проходом в бизнес зал и потеряла бы компенсацию , также за подробные разве .","[([32], [31], 'POS'), ([11], [10], 'POS')]","[('разве', 'подробные', 'POS'), ('донесение', 'ясное', 'POS')]"
"Так получилось , что моя мама перевела деньги постороннему человеку по ошибке . Тут же мы позвонили на горячую линию банка , сотрудники очень оперативно отреагировали и в целом очень тактично , вежливо и мягко успокоили , связались с получателем денег . Деньги нам вернули буквально в течение 10 минут . Но я хочу отметить как операторы доброжелательны и отзывчивы . Вообще в Тинькофф очень мощная служба поддержки , операторы грамотные , вежл .","[([56], [57], 'POS'), ([56], [59], 'POS'), ([69], [70], 'POS')]","[('операторы', 'доброжелательны', 'POS'), ('операторы', 'отзывчивы', 'POS'), ('операторы', 'грамотные', 'POS')]"
"По федеральным каналам крутили рекламу « акция ! Приведи друга и получи 1500 , а твой друг получит дебетовую карту с полностью бесплатным обслуживанием навсегда ! » Меня попросила моя знакомая поучаствовать в этой акции . Я зарегестрировалась по её специальной персональной ссылке . Акция прошла , потому что за меня ей заплатили 1500 как и обещали . И вот совершенно случайно я узнаю , что у меня списываются деньги ! Звоним в Тинькофф , рассказываем ситуацию . И оператор отвечает « вам что - то не так объяснили . Карта платная » Это как вообще ? Пришлось её заблокировать ! А та моя знакомая , которая привела меня говорит « ни у меня , ни у моих знакомых никогда такого не было ! Всё полностью у нас бесплатно ! » Так причём изначально , когда мне представитель привёз эту карту ( дебетовую естественно ) , то он зачем - то как подарок дал мне кредитную ! И активировал её ! Я отказывалась , но он очень настойчивый ! Пришлось снова звонить в Тинькофф и разбираться , блокировать кредитку . Так сотрудники Тинькофф долго передо мной изменялись , что вообще он мне дал ещё какую - то карту , потому что этого тоже не должно было быть ! Это просто кошмар какой - то , .",[],[]
"Давно хотел оставить отзыв . Сделаю банально в виде плюсов и минусов . Плюсы : + Бренд - всегда с гордостью заявляю , что являюсь клиентом данного банка ; + Кешбек - банк первым меня познакомил с данной системой . Очень много партнеров , на авиабилеты / кино / цветы , "" кешбек дня "" это просто находка . Банк лоялен , в плане одобрения выплат кешбека , рогами особо не упираются ) ; + Мобильное приложение - тут и так всё понятно . Все понятно , продумано и тд ; + Поддержка - отвечают / решают / долго ждать не приходится , любят отправлять мемчики или милые картинки ) ; + Премиум - согласен , не самый "" щедрый "" , но плюс заслуживает . Особенно , хотел бы отметить персонального менеджера Овчинникова Дмитрия . Всегда на связи , постоянно предлагает / информирует о каких нибудь новых продуктах , как сделать лучше и тд и тп . В общем здесь "" жирный "" плюс , однозначно . + Подарки - скоромный плюсик , но картхолдер / носки / несессер всегда приятно получить . Хотелось бы больше подарков ) ) ) И тот плюс , который радовал , когда то : это конечно , возможность , снимать деньги в любой точке мира , без комиссии . Да , было время , Европа / Тайланд . Надеюсь , еще будет возможность . А теперь , чуток минусов , из того что похвалил : - Категории кешбека и "" кешбек дня "" - наблюдается тенденция деградации или застоя , что ли . Конкуренты не спят , особенно один "" красный "" . Тинькофф всегда ассоциировался у меня топ по Кешбеку , но что то в последний год , сдаем позиции . Верим , ждём новых идей и предложений ; - "" Премиум "" - уже говорилось , не самый лучший . Явно , не хватает , какого то бонуса . В других банках , более интересные условия / преимущества . На этом всё , Спасибо Большое Тинькофф Банку , моему менеджеру и поддержке за их работу . Дальнейшего Вам развития . Очень приятно пользоваться вашими услугами . Надеюсь , эти скромные "" минусы "" мы оставим позади . А "" плюсов "" станет еще больше . Спасиб .","[([59], [60], 'POS'), ([324], [323], 'POS')]","[('Банк', 'лоялен', 'POS'), ('условия', 'интересные', 'POS')]"
"Здравствуйте . Я недавно открыл карту Тинькофф и сейчас решил попробовать сервис Премиум . Я могу 100 % сказать ч о это премиальное обслуживание . Ребята общаются в чате легко и круто . Расспросил все про карту и сервис , у меня было много вопросов и я их одолевал весь день . И каждый кто ко мне подключался все подробно рассказывал . Мнеиочент понравились две последние девушки которые со мной общались в чате Ольга Б . 471053 рассказала про тот как можно путешествовать безопасно . Оказывается с премиум можно абсолютно бесплатно застраховаться . и Екатерина , рассказала про стикер и очень понятно рассказала про кэшбэк , её фамилии не знаю к сожалению . И ещё хочу отметить парня не помню имя его , он рассказал мне про инвестиции и про бизнес залы В общем и целом хочу сказать Тиньков однозначно теперь мой фавори .","[([23], [22], 'POS')]","[('обслуживание', 'премиальное', 'POS')]"
